port_id,port_name,lat,lng,installation_day,city_id,ward,station,distance,capacity,payment_amount,KEY_CODE
10001,日下モータープール,34.660327,135.495154,2021-03-28,osaka,浪速区,芦原橋駅,559.8984444350186,10.0,25300.0,5135739921.0
10002,第二杉乃雄モータープール,34.656121,135.506762,2021-03-26,osaka,浪速区,恵美須町駅,140.7550789969601,10.0,38500.0,5135748041.0
10005,焼肉R29,34.673451,135.494642,2021-03-26,osaka,西区,西大橋駅,228.3810349704277,3.0,4000.0,5235030943.0
10006,靱本町駐車場,34.682907,135.489189,2021-03-26,osaka,西区,阿波座駅,175.4812645083324,10.0,36300.0,5235031933.0
10007, 中崎町1丁目,34.707204,135.506883,2021-03-28,osaka,北区,中崎町駅,82.5730412783091,10.0,36300.0,5235044043.0
10008,本庄アーバンハウス,34.712588,135.507079,2021-03-28,osaka,北区,天神橋筋六丁目駅,381.5246561909677,5.0,8250.0,5235045041.0
10009,堀江102,34.672607,135.48806,2021-03-28,osaka,西区,西長堀駅,251.54523542472592,6.0,9900.0,5235030931.0
10011,堂島プライマリーワン,34.697009,135.493023,2021-03-17,osaka,北区,北新地駅,302.1418471769059,4.0,9900.0,5235033932.0
10012,メゾンキコー難波南,34.654501,135.49016,2021-03-28,osaka,浪速区,今宮駅,201.195614569739,10.0,16500.0,5135738931.0
10013,三陽グリーンハイツ,34.664061,135.50526,2021-03-28,osaka,中央区,難波駅,306.1651005142541,6.0,9900.0,5135749032.0
10014,フレアコート北浜,34.687076,135.510242,2021-03-17,osaka,中央区,なにわ橋駅,578.5966605639429,10.0,23100.0,5235042024.0
10015,コンチネンタル難波東,34.662738,135.50775,2021-03-17,osaka,浪速区,難波駅,452.8976748554167,8.0,16500.0,5135749041.0
10016,明成中津ビル,34.710787,135.493468,2021-03-17,osaka,北区,中津駅,171.33379349437493,8.0,16500.0,5235035914.0
10017,戎本町2丁目9−10,34.650908,135.498914,2021-03-23,osaka,浪速区,新今宮駅,174.9846438699978,5.0,5500.0,5135738922.0
10018,本町リバーサイドビル,34.68309,135.5095,2021-03-24,osaka,中央区,堺筋本町駅,325.7419347808257,3.0,4950.0,5235041044.0
10019,第一岡本ビル,34.670172,135.508592,2021-03-23,osaka,中央区,日本橋駅,367.69896484208766,4.0,4400.0,5235040023.0
10020,ハイムラポールパート12,34.703538,135.484714,2021-03-26,osaka,北区,福島駅,706.3234655642841,6.0,27500.0,5235034824.0
10021,オーシャン大国,34.655496,135.494145,2021-03-26,osaka,浪速区,今宮駅,188.129279065074,4.0,6600.0,5135738941.0
10022,オーシャン福島,34.687217,135.477382,2021-03-17,osaka,福島区,野田駅,298.237874808027,2.0,6600.0,5235032813.0
10023,I Cube日本橋東,34.6549037618214,135.50650155704304,2021-03-26,osaka,浪速区,恵美須町駅,176.28525102161117,9.0,14850.0,5135748041.0
10024,I Cube恵美須,34.654773,135.506578,2021-03-26,osaka,浪速区,恵美須町駅,172.94139155679082,9.0,14850.0,5135748041.0
10025,マークス難波南,34.658889,135.495195,2021-03-26,osaka,浪速区,大国町駅,474.2848669234,10.0,22000.0,5135739921.0
10026,アーデンタワー立売堀,34.679293,135.489955,2021-03-28,osaka,西区,阿波座駅,261.52094151099146,7.0,16500.0,5235031931.0
10027,アーデンタワー新町,34.67769,135.490871,2021-03-31,osaka,西区,西長堀駅,363.3537144683237,5.0,8250.0,5235031914.0
10028,アーデン谷町,34.680348,135.515941,2021-03-26,osaka,中央区,谷町四丁目駅,168.52508071718466,5.0,8250.0,5235041132.0
10029,アーデンタワー靱公園,34.683399,135.486532,2021-03-28,osaka,西区,阿波座駅,117.77460211744872,6.0,11550.0,5235032822.0
10030,日宝ア・ラ・メゾン,34.676809,135.508985,2021-03-26,osaka,中央区,長堀橋駅,233.45374799399409,10.0,19800.0,5235041021.0
10031,アーデンタワー福島ウエスト,34.693671,135.474304,2021-03-25,osaka,福島区,野田駅,144.08229532765907,10.0,24750.0,5235033722.0
10032,レジュールアッシュ梅田アクシア,34.702049,135.504831,2021-03-26,osaka,北区,東梅田駅,493.08298379383615,10.0,19800.0,5235044012.0
10033,レジュールアッシュ梅田リュクス,34.698755,135.50546,2021-03-25,osaka,北区,南森町駅,405.4236929734115,3.0,4950.0,5235043034.0
10034,ファーストフィオーレ東梅田,34.699319,135.503565,2021-03-25,osaka,北区,東梅田駅,440.31444871194736,7.0,14850.0,5235043034.0
10035,レジュールアッシュ梅田westgate,34.699093,135.482051,2021-03-17,osaka,福島区,福島駅,514.0467968712061,4.0,13200.0,5235033843.0
10036,レジュールアッシュ心斎橋ヴィータ,34.678318,135.491994,2021-03-24,osaka,西区,西大橋駅,386.5884496577176,5.0,13200.0,5235031914.0
10037,レジュールアッシュ心斎橋リュクス,34.677003,135.49212,2021-03-26,osaka,西区,西大橋駅,272.2333158908514,10.0,19800.0,5235031912.0
10038,レジュールアッシュ松屋町,34.676641,135.512385,2021-03-24,osaka,中央区,松屋町駅,128.4629770161799,7.0,13200.0,5235041022.0
10039,ファーストフィオーレ心斎橋East,34.676444,135.512064,2021-03-26,osaka,中央区,松屋町駅,132.7984952045741,3.0,4950.0,5235041022.0
10040,レオンコンフォート難波アッシュ,34.657916,135.506419,2021-03-17,osaka,浪速区,恵美須町駅,114.15461664892888,7.0,19800.0,5135748043.0
10041,レジュールアッシュ難波ミナミⅢ,34.658266,135.497225,2021-03-17,osaka,浪速区,大国町駅,341.7683406093375,3.0,19800.0,5135738944.0
10042,ライオンズビル大手前,34.686988,135.513074,2021-03-31,osaka,中央区,天満橋駅,440.4059739346251,4.0,19800.0,5235042113.0
10044,キャピトル心斎橋,34.669734,135.497442,2021-03-30,osaka,中央区,難波駅,283.8932942408999,5.0,0.0,5235030924.0
10045,クレシア東心斎橋,34.672858,135.507985,2021-03-31,osaka,中央区,長堀橋駅,280.63478704758774,10.0,0.0,5235040041.0
10054,エルミタージュ難波南６,34.654706,135.501872,2021-03-28,osaka,浪速区,今宮戎駅,84.20183929598414,6.0,16500.0,5135748031.0
10055,ベルパーク靱本町,34.683935,135.495192,2021-03-24,osaka,西区,本町駅,161.05290299212044,2.0,4950.0,5235032921.0
10056,大阪駅中央北口,34.702993,135.494652,2021-03-31,osaka,北区,大阪駅,194.8028539728314,70.0,334388.0,5235034923.0
10057,天王寺駅,34.647728,135.515586,2021-03-31,osaka,天王寺区,天王寺駅,86.97181110502557,30.0,143308.0,5135747131.0
10058,森ノ宮駅北口,34.681161,135.533811,2021-03-31,osaka,中央区,森ノ宮駅,150.03076490744152,8.0,38215.0,5235041241.0
10060,大阪城公園駅,34.688646,135.534346,2021-03-31,osaka,中央区,大阪城公園駅,196.4934567788493,10.0,47770.0,5235042241.0
10061,桜ノ宮駅,34.704341,135.52017,2021-03-31,osaka,都島区,桜ノ宮駅,164.12139633622178,15.0,71655.0,5235044141.0
10062,キュープラザ心斎橋,34.674847,135.501524,2021-03-31,osaka,中央区,心斎橋駅,124.05515538617786,5.0,16500.0,5235040033.0
10063,もりのみやキューズモールBASE入り口前,34.680444,135.530011,2021-03-30,osaka,中央区,森ノ宮駅,159.21177710042727,10.0,24200.0,5235041232.0
10064,プライムアーバン松屋町,34.676624,135.511335,2021-03-23,osaka,中央区,松屋町駅,199.1024310805768,7.0,11550.0,5235041022.0
10065,プライムアーバン安堂寺,34.676518,135.516518,2021-03-23,osaka,中央区,谷町六丁目駅,91.01617750133366,5.0,8250.0,5235041112.0
10066,SERENiTE堺筋本町,34.680142,135.504525,2021-03-23,osaka,中央区,堺筋本町駅,237.8796663945084,4.0,6600.0,5235041032.0
10067,アーバンスペース元町,34.659711,135.495817,2021-03-24,osaka,浪速区,大国町駅,531.7578892630211,9.0,9350.0,5135739921.0
10068,ZEUS20XX,34.717106,135.513115,2021-03-26,osaka,北区,天神橋筋六丁目駅,719.1742884132836,4.0,4155.0,5235046111.0
10069,プレシオーソ梅田,34.712948,135.501217,2021-03-26,osaka,北区,中津駅,514.9485226373399,3.0,18700.0,5235045031.0
10070,THE STAY OSAKA 心斎橋,34.673372,135.507763,2021-03-30,osaka,中央区,長堀橋駅,220.2677809316484,8.0,16500.0,5235040043.0
10071,南海なんば西口駐輪場,34.663046,135.501544,2021-03-26,osaka,中央区,難波駅,155.54334116315738,7.0,15400.0,5135749031.0
10072,アロンディール島之内,34.671341,135.510261,2021-03-26,osaka,中央区,長堀橋駅,521.1909626125448,1.0,6000.0,5235040042.0
10073,グランピア江戸堀,34.685749,135.488435,2021-03-28,osaka,西区,阿波座駅,431.02166800397225,2.0,6000.0,5235032913.0
10074,ビューパレー壱番館,34.691942,135.469024,2021-03-28,osaka,福島区,海老江駅,558.6840506831022,5.0,14000.0,5235033721.0
10075,フォレストスクエア西長堀,34.67279265,135.487583,2021-03-28,osaka,西区,西長堀駅,219.72343324521933,3.0,6000.0,5235030931.0
10076,グリーンプラザ新梅田,34.704488,135.485809,2021-03-28,osaka,北区,大阪駅,745.5014023147585,10.0,20000.0,5235034842.0
10077,ランドマーク福島,34.696181,135.484183,2021-03-26,osaka,福島区,新福島駅,187.1933189878131,10.0,19800.0,5235033841.0
10078,星和シティビル南久宝寺,34.679069,135.509911,2021-03-31,osaka,中央区,堺筋本町駅,423.4577335827283,5.0,8250.0,5235041024.0
10080,レグルス日本橋,34.667819,135.509341,2021-03-26,osaka,中央区,日本橋駅,172.14362110538664,5.0,8250.0,5235040021.0
10081,レグルス阿倍野駐車場前,34.64386,135.518088,2021-03-26,osaka,阿倍野区,大阪阿部野橋駅,248.79520867404625,4.0,6600.0,5135747114.0
10082,ウィークリー翔ホテルなんば,34.663149,135.508432,2021-03-26,osaka,中央区,日本橋駅,424.3833267052358,3.0,4500.0,5135749041.0
10083,クレグラン南船場,34.676713,135.504242,2021-03-28,osaka,中央区,長堀橋駅,219.71132697289715,10.0,24750.0,5235041012.0
10084,日本橋西1丁目4−4駐車場,34.659913,135.504315,2021-03-31,osaka,浪速区,難波駅,282.5365162524571,4.0,6600.0,5135749012.0
10085,グーラテース U.H.Y,34.665641,135.490279,2021-03-31,osaka,浪速区,桜川駅,313.20668856570654,3.0,3300.0,5135739933.0
10086,ラフィネ美喜,34.664323,135.483801,2021-03-31,osaka,浪速区,汐見橋駅,393.39192603742913,10.0,16500.0,5135739841.0
10087,なんばソラニワ,34.66067,135.503853,2021-03-31,osaka,浪速区,難波駅,188.40980490468763,9.0,9900.0,5135749014.0
10088,ウィルワン,34.704483,135.484953,2021-03-31,osaka,北区,福島駅,799.5656141604808,4.0,6600.0,5235034842.0
10089,ウェスト宮ノ下,34.668699,135.512602,2021-03-31,osaka,中央区,谷町九丁目駅,324.6979431759274,4.0,4400.0,5235040111.0
