port_id,port_name,lat,lng,installation_day,city_id,ward,station,distance,capacity,payment_amount,KEY_CODE
4,Caldo Nakameguro,35.642876,139.69729,2020-06-24,shibuya,目黒区,中目黒駅,105.67524292160113,0.0,6600.0,5339357522.0
5,中目黒炭火焼ホルモンまんてん高架下店,35.642853,139.697255,2020-06-06,shibuya,目黒区,中目黒駅,109.7344806356146,0.0,9900.0,5339357522.0
8,KN代官山,35.646017,139.701909,2020-06-06,shibuya,目黒区,代官山駅,252.74688261837247,8.0,26400.0,5339357631.0
9,Point No.39,35.63028,139.701106,2020-06-05,shibuya,目黒区,武蔵小山駅,1149.3418551740406,2.0,6600.0,5339355631.0
10,Point No.38,35.631341,139.704583,2020-06-08,shibuya,目黒区,目黒駅,1000.9848845384154,2.0,6600.0,5339355634.0
14,anea cafe 白金店,35.644662,139.723966,2020-06-06,shibuya,港区,広尾駅,678.0324763574106,3.0,9900.0,5339357724.0
15,Burger Factory,35.640818,139.694545,2020-06-07,shibuya,目黒区,中目黒駅,443.16299616912426,1.0,3300.0,5339356543.0
16,ASTON GARRET ROOM,35.634634,139.697939,2020-06-05,shibuya,目黒区,祐天寺駅,722.5863815002236,4.0,13200.0,5339356522.0
17,TASTY PLACE THE DINING 交差点側,35.63624,139.694248,2020-06-05,shibuya,目黒区,祐天寺駅,355.6499224554884,4.0,13200.0,5339356523.0
18,大橋石塚駐車場,35.651968,139.685429,2020-06-05,shibuya,目黒区,池尻大橋駅,90.5083841744055,10.0,44000.0,5339358422.0
28,Go Bring Slider,35.63356,139.708033,2020-06-06,shibuya,目黒区,目黒駅,668.7998859157561,2.0,6600.0,5339356621.0
29,gentile,35.635952,139.706034,2020-06-05,shibuya,目黒区,目黒駅,901.7571994320456,1.0,3300.0,5339356614.0
30,The Parlour,35.6236571,139.6926204,2020-06-15,shibuya,目黒区,学芸大学駅,861.053551140302,2.0,6600.0,5339354534.0
31,EMPORIO cafe&dining,35.629037,139.681292,2020-06-20,shibuya,目黒区,学芸大学駅,337.7652027777588,3.0,9900.0,5339355423.0
34,THE MIX学芸大学,35.629927,139.677809,2020-06-21,shibuya,世田谷区,学芸大学駅,667.7350276145289,4.0,4400.0,5339355431.0
35,東山日東駐車場,35.648155,139.691765,2020-06-05,shibuya,目黒区,池尻大橋駅,653.4582459078392,6.0,52800.0,5339357534.0
36,REISM HIVE 三軒茶屋,35.646806133347894,139.6776985668647,2020-06-05,shibuya,世田谷区,三軒茶屋駅,789.1491095853014,8.0,9900.0,5339357431.0
37,REISM HIVE 渋谷桜丘,35.654276,139.703615,2020-06-07,shibuya,渋谷区,渋谷駅,352.1461213099989,3.0,3300.0,5339358632.0
38,REISM HIVE 中目黒,35.649279,139.691761,2020-06-04,shibuya,目黒区,池尻大橋駅,598.9107748908941,2.0,3300.0,5339357534.0
39,ジェオグラフィカ,35.629395,139.697649,2020-06-05,shibuya,目黒区,祐天寺駅,1044.667508924941,2.0,6600.0,5339355542.0
40,CAMELBACK sandwich&espresso,35.665564,139.692286,2020-06-10,shibuya,渋谷区,代々木公園駅,524.4212989121006,1.0,6600.0,5339359534.0
50,Bal Cochonrose,35.639225,139.712352,2020-06-05,shibuya,目黒区,目黒駅,725.0567531778811,2.0,6600.0,5339356642.0
53,鮨 心白,35.645015,139.714507,2020-06-06,shibuya,渋谷区,恵比寿駅,372.62314507541663,2.0,13200.0,5339357713.0
55,ダルマット恵比寿店,35.650377,139.706962,2020-06-05,shibuya,渋谷区,代官山駅,430.0819245050913,3.0,16500.0,5339358621.0
58,HGⅢ自動二輪駐車場,35.644325,139.710865,2020-06-05,shibuya,渋谷区,恵比寿駅,180.8682706387932,10.0,55000.0,5339357624.0
59,レトロイタリアンダイニング ズッカ,35.654227,139.702504,2020-06-07,shibuya,渋谷区,渋谷駅,334.97374399565086,3.0,9900.0,5339358631.0
60,Meat Bar LisBee,35.652483,139.707033,2020-06-05,shibuya,渋谷区,代官山駅,604.5180300720294,0.0,6600.0,5339358623.0
63,Onda Tokyo,35.641871,139.702704,2020-06-05,shibuya,目黒区,中目黒駅,450.52196423322135,2.0,11000.0,5339357611.0
66,渋谷BEAM,35.661535,139.697453,2020-06-05,shibuya,渋谷区,渋谷駅,372.1818314703874,5.0,16500.0,5339359524.0
70,スペイン料理ルナソル,35.635135,139.691953,2020-06-05,shibuya,目黒区,祐天寺駅,224.7228819237533,1.0,6600.0,5339356512.0
73,宇田川カフェ,35.660902,139.69927,2020-06-05,shibuya,渋谷区,渋谷駅,279.81574631342664,15.0,53382.0,5339359524.0
74,宇田川カフェ suite,35.66161,139.696791,2020-06-07,shibuya,渋谷区,渋谷駅,404.5700239829362,1.0,7117.0,5339359523.0
76,ルビリーヌ,35.629497,139.694934,2020-06-07,shibuya,目黒区,祐天寺駅,899.7629770723621,1.0,3300.0,5339355541.0
77,MICASADECO&CAFE神宮前,35.666524,139.705493,2020-06-05,shibuya,渋谷区,明治神宮前駅,285.25315542843725,1.0,3300.0,5339359634.0
80,ソーシャルアパートメント恵比寿,35.638457,139.708731,2020-06-10,shibuya,目黒区,目黒駅,840.9058473965684,5.0,16500.0,5339356641.0
81,ネイバーズ目黒,35.628824,139.703285,2020-06-09,shibuya,目黒区,不動前駅,947.9572318833876,5.0,16500.0,5339355614.0
85,BOWERY LANE,35.6683,139.681586,2020-06-08,shibuya,渋谷区,代々木上原駅,255.26054698844865,2.0,9900.0,5339450421.0
86,antiques&cafe majorelle,35.639082,139.679587,2020-06-08,shibuya,世田谷区,三軒茶屋駅,921.0887137425964,4.0,19800.0,5339356432.0
87,おこめどき,35.664378,139.703089,2020-06-08,shibuya,渋谷区,渋谷駅,496.91570986646656,1.0,3300.0,5339359631.0
89,バリク,35.638562,139.692143,2020-06-08,shibuya,目黒区,祐天寺駅,264.66694193682537,3.0,9900.0,5339356532.0
90,TASTY PLACE THE DINING テラス側,35.636301,139.694212,2020-06-12,shibuya,目黒区,祐天寺駅,351.5501709980302,2.0,13200.0,5339356523.0
91,小林ビル(上目黒1丁目),35.645391,139.700932,2020-06-10,shibuya,目黒区,中目黒駅,326.311840422708,2.0,6600.0,5339357613.0
92,担担麺と魯肉飯専門店　魯担(るたん),35.652051,139.686851,2020-06-17,shibuya,目黒区,池尻大橋駅,153.73387314946376,1.0,6600.0,5339358422.0
97,Hair Salon HONEY,35.669865,139.713296,2020-06-16,shibuya,渋谷区,外苑前駅,358.6823785312094,2.0,2200.0,5339450713.0
99,ROJU NAKAMEGURO,35.643805,139.701921,2020-06-16,shibuya,目黒区,中目黒駅,342.2310718465886,10.0,33000.0,5339357613.0
102,Attract Hair Salon,35.656333,139.693328,2020-06-17,shibuya,渋谷区,神泉駅,98.854423559767,6.0,8800.0,5339358534.0
103,サンデシカビル,35.673781,139.712378,2020-06-18,shibuya,渋谷区,外苑前駅,596.4900220581599,2.0,2200.0,5339450644.0
109,ノムネン,35.6399708,139.7027841,2020-06-30,shibuya,目黒区,中目黒駅,575.4253086437735,0.0,6600.0,5339356633.0
110,祐天寺えいしん歯科,35.63569,139.692944,2020-07-03,shibuya,目黒区,祐天寺駅,258.9850823578879,1.0,2200.0,5339356514.0
112,日実子,35.6259272,139.7136005,2020-06-30,shibuya,品川区,不動前駅,107.47218949291351,2.0,2200.0,5339355711.0
113,保護猫喫茶 necoma,35.630931,139.694835,2020-06-30,shibuya,目黒区,祐天寺駅,756.9324195487715,12.0,13200.0,5339355541.0
114,ハイパーリバ邸,35.647926,139.672348,2020-07-02,shibuya,世田谷区,三軒茶屋駅,489.2608583079484,4.0,5500.0,5339357344.0
115,太子堂第9駐輪場,35.6441169,139.6714321,2020-06-30,shibuya,世田谷区,三軒茶屋駅,164.65676844872726,10.0,66000.0,5339357323.0
118,和食ぬく,35.635864,139.705489,2020-06-30,shibuya,目黒区,目黒駅,945.1235868609914,0.0,1100.0,5339356614.0
119,Lowha,35.66692,139.704971,2020-07-02,shibuya,渋谷区,明治神宮前駅,252.7788448142102,2.0,9900.0,5339450612.0
120,Fen.hair ici,35.644698,139.702005,2020-07-02,shibuya,目黒区,中目黒駅,372.1625882095669,1.0,2200.0,5339357613.0
123,祐天寺1丁目,35.639715,139.694256,2020-07-09,shibuya,目黒区,祐天寺駅,488.3527514457946,9.0,3300.0,5339356543.0
124,メルベーユルーブ,35.644906,139.701591,2020-07-09,shibuya,目黒区,中目黒駅,347.03695815900403,7.0,23100.0,5339357613.0
126,Y2TSTAND,35.641183,139.695609,2020-07-13,shibuya,目黒区,中目黒駅,346.77496463552137,1.0,1100.0,5339356543.0
129,LOビル,35.668131,139.691208,2020-07-17,shibuya,渋谷区,代々木公園駅,260.59875567474376,2.0,11000.0,5339450512.0
133,市民酒場ジョー,35.642811,139.680896,2020-07-20,shibuya,世田谷区,三軒茶屋駅,948.5954806277311,4.0,13200.0,5339357412.0
134,Good Morning Building(アンペア),35.6597248,139.7080124,2020-07-22,shibuya,渋谷区,渋谷駅,487.4368708190953,2.0,0.0,5339359621.0
135,UNITED cafe,35.6317001,139.6697547,2020-07-23,shibuya,世田谷区,駒沢大学駅,749.1628945557609,1.0,3300.0,5339355343.0
137,Buena,35.647439,139.668472,2020-07-27,shibuya,世田谷区,西太子堂駅,375.1825865051585,2.0,9900.0,5339357332.0
138,ベール ヴァレイ学芸大学,35.629356,139.680783,2020-07-29,shibuya,世田谷区,学芸大学駅,392.5951846441758,2.0,4400.0,5339355432.0
139,セゾン代官山,35.651838,139.706392,2020-10-06,shibuya,渋谷区,代官山駅,512.5406577817861,1.0,3000.0,5339358621.0
140,第二かわなビル,35.659406,139.705918,2020-08-09,shibuya,渋谷区,渋谷駅,298.70422370574664,2.0,3300.0,5339359612.0
142,医療法人社団新生会 ボーイズアンドガールズデンタルクリニック三宿,35.644637,139.679497,2020-08-03,shibuya,世田谷区,三軒茶屋駅,850.6367490981094,2.0,6600.0,5339357414.0
143,ローソン世田谷三軒茶屋一丁目店,35.639378,139.670286,2020-08-04,shibuya,世田谷区,三軒茶屋駅,366.1992045549106,4.0,19800.0,5339356341.0
