TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-04 22:00:00,9040279,9040088,5gjwyfiC4ddtdVdUArozwnkqOCd2,714,714,2974
2023-02-04 09:00:00,9040021,9040231,Cr20Uo2cG9eVWUWr8oEZzqO4l5B3,728,273,3041
2023-02-04 04:00:00,9040267,9040267,KZjz7JsWyjNFrG47jrna9VYGtmU2,46,46,34
2023-02-04 09:00:00,9040086,9040009,yZxODZiAftV3XnNtCcDg1Pe9tcx2,987,987,4159
2023-02-04 12:00:00,9040070,9040024,ANglr4qihcVwPPxGPTm4v7WIY712,537,537,2215
2023-02-04 10:00:00,9040032,9040231,JEFyAosOjyMDfUX03jOgQ8ChXs62,537,82,2209
2023-02-04 17:00:00,9040034,9040278,Tq2n12XMbehNnW1UikZiOoQRzjE3,550,550,2255
2023-02-04 14:00:00,9040034,9040052,1Vpk64GRrPHKf2QI1mUD,796,796,3342
2023-02-04 16:00:00,9040251,9040253,aFxnY1UQ1hbS9R1IE08NvsCQnWt2,796,796,3310
2023-02-04 15:00:00,9040122,9040142,jA6pfuPRrCZ3enzmVV0dZtgXLkG3,810,810,3399
2023-02-04 15:00:00,9040122,9040142,NPWnvWtvLrdvsQrej14eSta0GMI3,810,810,3366
2023-02-04 17:00:00,9040034,9040278,uNMqnU7yx0QMXYuApvBIwFSG3u23,578,578,2364
2023-02-04 12:00:00,9040168,9040088,6GHJN2spn9cCiB0KApIHLwzrfx82,578,578,2374
2023-02-04 10:00:00,9040032,9040251,o8y5sH4NGHcykymI5LiAUOvZANY2,578,578,2350
2023-02-04 09:00:00,9040026,9040026,48A1XP3InvUiBwt2C6XLapIq1ZC3,2214,2214,9587
2023-02-04 16:00:00,9040251,9040253,At7OMEfVElMpaEAi0uTFmQ5n8Ie2,837,837,3493
2023-02-04 15:00:00,9040007,9040001,V6QmLWuifNYR6EhmjurW,605,605,2462
2023-02-04 13:00:00,9040270,9040045,6VyIfxVxy1XQtUapBnkvbYMZdK02,2869,2005,12464
2023-02-04 15:00:00,9040034,9040179,AskhdO826vNQNZdpXpKX874215o2,632,632,2602
2023-02-04 15:00:00,9040034,9040179,Qv1k1Vx7j6YVdJR7eqAsxl0fvEL2,632,632,2616
2023-02-04 15:00:00,9040215,9040134,h2inBgibopO4gTqKgPkTgiqeK503,878,878,3689
2023-02-04 01:00:00,9040164,9040145,OWD096kLJTOQtxc648VijSTWUkQ2,646,646,2678
2023-02-04 21:00:00,9040044,9040020,9ne6jgEBXsgYdQrL3ZjsUIlg4fT2,646,646,2659
2023-02-04 14:00:00,9040184,9040001,Jr4EdapsLPMsdbrrIOzHXnxfCGI2,660,660,2710
2023-02-04 04:00:00,9040022,9004045,8a5ykWSuP4gObSsJkmzHfr5xT1N2,905,905,3817
2023-02-04 00:00:00,9040200,9040023,1IX4b3kcT3P6QyfiRoO6G0lP8yN2,687,687,2829
2023-02-04 10:00:00,9040070,9040160,Z6Y3jyJbQCBHgLrMjQW6,1382,928,5887
2023-02-04 17:00:00,9040184,9040224,cNnx8wZ7NuScMBqBb3I2DjkQXSs1,687,232,2840
2023-02-04 17:00:00,9040184,9040224,R7pMBXDzSNVtbygjYhpMql2FeST2,687,232,2826
2023-02-04 09:00:00,9040021,9040231,DHpi0jBaARgHYuAenWdYSnFmTLq1,687,232,2873
2023-02-04 00:00:00,9040242,9040267,oRkFndeDu1OOmsF6FYidYTunAcz1,60,60,92
