TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-01-31 23:00:00,10062,10306,oGjyyxKXAPXzNzcTLkH7fhZ1Jru2,0,0,30240
2023-02-01 13:00:00,10398,10423,wsk7SK73kyLIt8aj9RoILIPfwxJ3,1205,0,5121
2023-02-01 02:00:00,10583,10016,KyVRRRF0faNjTJHdANBQ8GA5cJt1,455,0,42902
2023-02-01 11:00:00,10110,10514,MIPD5L3FGA9DMNLogtOg,0,0,25
2023-02-01 11:00:00,10186,10186,ggSr5d3ZmZBJAeamu5zw,1082,0,4582
2023-02-01 12:00:00,10186,10385,ggSr5d3ZmZBJAeamu5zw,1150,0,4909
2023-02-01 12:00:00,10321,10526,C1fZISurr5gvsr4GhAbPHhB6t5o1,0,0,3180
2023-02-01 14:00:00,10385,10606,ggSr5d3ZmZBJAeamu5zw,632,0,2585
2023-02-01 11:00:00,10514,10514,MIPD5L3FGA9DMNLogtOg,0,0,80
2023-02-01 12:00:00,10543,10543,UQ3g4xHN30f3vFSnOvj47wpMb8m1,0,0,75
2023-01-31 23:00:00,10372,10143,81cYut6T5gYLgQvsL4grtOxZyWJ2,537,0,2203
2023-02-01 15:00:00,10423,10615,wsk7SK73kyLIt8aj9RoILIPfwxJ3,919,0,3892
2023-02-01 10:00:00,10514,10514,cW9YvUdCHHfqaD5YbiqqBkSoGRW2,0,0,31
2023-02-01 21:00:00,10152,10446,QZ8DnkDSJFeCAMCuzahdmizfJos1,0,0,2040
2023-02-01 11:00:00,10514,10110,MIPD5L3FGA9DMNLogtOg,0,0,27
2023-02-01 11:00:00,10158,10007,t0CQ0u10ZXVVReNJWSDcLfS9ZIH3,932,932,3960
2023-02-01 20:00:00,10228,10228,1TyGhHKvdWaE5yhMGdMFMiNyLPw2,700,700,2882
2023-02-01 10:00:00,10361,10405,7IwImcqb5UZnDVLeZO49CbXrEM92,469,469,1905
2023-02-01 12:00:00,10072,10056,Jd870pnWhLYfI1uWXceCEm8rg792,1641,1641,7063
2023-02-01 17:00:00,10585,10195,AhAaZ3p1zIbrcgzRaiR1aqawulT2,714,714,2945
2023-02-01 14:00:00,10151,10347,AF7BXyTZryYlDnaSrjV9zRfddF22,714,714,2987
2023-02-01 18:00:00,10626,10525,3D7D0vPNOBlf7AuEgn5o,482,482,1925
2023-02-01 23:00:00,10056,10151,GJYtMu06kTMbJ8wmi7fei1E1bMw2,482,482,1933
2023-02-01 14:00:00,10615,10070,pxESY6IeqnYgZ3WGwUm1sMQA1UI3,482,482,1939
2023-02-01 20:00:00,10083,10381,obwF9z0jYnvs0eyGFANY,482,482,1932
2023-02-01 17:00:00,10462,10391,LCam9NbeOYajhEcaWkuV9bo86Wu2,482,482,1939
2023-02-01 13:00:00,10376,10118,Km5ZACJNvWcJmrD4UwGMB5kRnL32,482,482,1977
2023-02-01 13:00:00,10203,10203,YneXs598tbVORDmm5tzb2WgKrvp2,1410,955,6027
2023-02-01 12:00:00,10097,10430,yjnMs7HK1gaUpRBJAlMfT6GJCCK2,714,260,2987
2023-02-01 11:00:00,10307,10386,CTDMWAS6BFa7urnVtiQgkhc9rTn2,1423,1423,6101
2023-02-01 20:00:00,10060,10579,OI02eCwYfTVInT67kRYjKjPzWWn1,728,728,3010
2023-02-01 00:00:00,10601,10138,2dam00Ar7tYzqhIuxweN,496,496,2026
2023-02-01 22:00:00,10183,10322,rS03I1Y42GxFYiU9hPER,496,496,1987
2023-02-01 00:00:00,10060,10060,SmLX90tb26brbTxKKb8eUMWoAp03,496,496,1992
2023-02-01 00:00:00,10060,10060,EVpDVy4y5UXymTGPEpsqjGqshfm2,496,496,1992
2023-02-01 12:00:00,10056,10056,6KmlpTV9NRez4LoSG6gxnhdw6oA3,741,741,3081
2023-02-01 23:00:00,10356,10385,09RXF6dfAfdmgvRr4179orrKzNO2,510,510,2088
